ko	en-ensata	en-previous	ko-romanised	notes
				
구원자		Savior	guwonja 	what Laima calls the PC
계시자		Revelator	gyesija 	special people who communed with Laima
				
[Goddesses]				see Lithuanian myth
라이마		Laima	laima	ref: goddess of fate - only fate, not wisdom
운명과 예지의 여신	Goddess of Fate and Wisdom	Goddess of Fate and Luck		kor file says fate and wisdom
가비야		Gabija	gabiya	of fire and hearth
바카리네		Vakarine	bakaline 	of the Evening Star
제미나		Zemyna	jemina 	of earth, ie. Mother Earth
아우슈리네		Ausrine	ausyuline 	of the Morning Star
				
[Events]				
신수의 날 	Day of blah	Day of Divine Tree / Divine Day		needs a more sensible name
				
[Locations]				named after Lithuanian places
클라페다 		Klaipeda	keullapeda 	
샤울레이		Siauliai	syaullei 	
샤울레이 동쪽 숲 		East Siauliai Woods 		
동쪽 숲		Eastern Woods		shorter name in dialogue, more casual?
				
[Bestiary]				
스파르나스		Sparnas	seupaleunaseu	
부베		Vubbe	bube	
츄파카브라		Chupacabra	chyupakabeula 	Monster from modern american legend
				
[NPC Titles]				
직업의 마스터	Class Master	x		
경계병	xxx	Sentinel		border guard
				
[Misc NPC Names]				
캔버그	Cyneburg	Cane Bug	kaenbeogeu 	an npc's name?
바이보라		Vivora	baibola	someone's leader
레나	Lena	Lennar	lena	npc?
헤느리카	Henryka		heneulika 	npc?
				
				
[Factions]				
마법협회	Mage Society	Magical Association		name length
클라페다 기사단	Klaipeda Knights	x		
				
[Classes]				
검사	Sword Fighter	xxx	geomsa 	full category term; non-Konglish word for all Swordsman classes
소드맨		Swordsman	sodeumaen 	First Class
하이랜더		Highlander	hailaendeo 	a scottish person - actually a movie reference
펠타스타		Peltasta	peltaseuta 	variant of ancient greek word Peltast - greek infantry
하플라이트		Hoplite	hapeullaiteu 	a greek soldier
센츄리온		Centurion	senchyulion 	a roman officer
바바리안		Barbarian	babalian 	
캐터프랙트		Cataphract		greek - heavy cavalry
커세어		Corsair	keoseeo 	fr: pirate
도펠죌트너		Doppelsoeldner		de: converting ö to oe is standard writing convention
로델레로		Rodelero	lodellelo 	spanish trooper
스콰이어		Squire	seukwaieo 	
				
마법사	Mage	xxx	mabeobsa 	non-Konglish term for the Wizard type
위저드		Wizard	wijeodeu 	First Class
파이로맨서		Pyromancer	pailomaenseo 	
크리오맨서		Cryomancer	keuliomaenseo 	
사이코키노		Psychokino	saikokino 	
알케미스트		Alchemist	alkemiseuteu 	
소서러		Sorcerer	soseoleo 	
링커		Linker	lingkeo 	
크로노맨서		Chronomancer	keulonomaenseo 	
네크로맨서		Necromancer		
쏘마터지		Thaumaturge	ssomateoji 	
엘레멘탈리스트		Elementalist		
				
궁수	Bowmen	xxx	gungsu 	non-Konglish term for the Archer type
아처		Archer	acheo 	First Class
헌터		Hunter	heonteo 	
쿼렐슈터		Quarrelshooter	kwolelsyuteo 	quarrel: middle english for crossbow bolt
레인저		Ranger	leinjeo 	
새퍼		Sapper	saepeo 	
우구시		Wugushi	ugusi 	ch: 巫蠱師 - literally translates to Witchcraft Division
하카펠	Hakkapel	Hackapell	hakapel 	fi: Hakkapeliitat - finnish light cavalry
스카우트		Scout	seukauteu 	
로그		Rogue	logeu 	
슈바르츠라이터		Schwarzer Reiter		de: Black Rider, ie. horse rider
플레처		Fletcher	peullecheo 	someone who works on arrows
				
성직자	Clergy People / Ecclesiastic	xxx	seongjigja 	non-Konglish term for the Cleric type
클레릭		Cleric	keullelig 	First Class
프리스트		Priest	peuliseuteu 	
크리비		Krivis	keulibi 	High Priest title for Romuva religion
보코르		Bokor	bokoleu 	priest of Voodoo religion
드루이드		Druid	deulu-ideu 	Celtic, it's complicated
사두		Sadhu	sadu 	Hindu ascetic or holy person
딥디르비		Dievdirbys	dibdileubi 	lt: wood artisan of holy sculptures
오라클		Oracle	olakeul 	
몽크		Monk	mongkeu 	
파드너		Pardoner	padeuneo 	Middle English: church official who sells indulgences
팔라딘		Paladin	palladin 	classic RPG class
				
[Base Attributes]				noted some modernised versions of the attributes
힘	Strength / Might	STR		
체력	Constitution	CON		
지능	Intelligence / Intellect	INT		
정신	Spirit / Will / Resolve	SPR		
민첩	Agility / Dexterity	DEX		
				
[Derived Attributes]				
